t,count
1386897430,0
1386897430,0
1386897430,0
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,5
1386897430,5
1386897430,5
1386897430,5
1386897430,5
1386897430,5
1386897430,5
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,8
1386897430,8
1386897430,8
1386897430,8
1386897430,8
1386897430,8
1386897430,8
1386897430,9
1386897430,9
1386897430,9
1386897430,9
1386897430,9
1386897430,9
1386897430,10
1386897430,10
1386897430,10
1386897430,10
1386897430,10
1386897430,10
1386897430,10
1386897430,11
1386897430,11
1386897430,11
1386897430,11
1386897430,11
1386897430,12
1386897430,12
1386897430,12
1386897430,12
1386897430,12
1386897430,12
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,5
1386897430,5
1386897430,5
1386897430,5
1386897430,5
1386897430,5
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,0
1386897430,0
1386897430,0
1386897430,0
1386897430,0
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,5
1386897430,5
1386897430,5
1386897430,5
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,7
1386897430,8
1386897430,8
1386897430,8
1386897430,8
1386897430,9
1386897430,9
1386897430,9
1386897430,9
1386897430,9
1386897430,9
1386897430,9
1386897430,9
1386897430,10
1386897430,10
1386897430,10
1386897430,10
1386897430,10
1386897430,11
1386897430,11
1386897430,11
1386897430,11
1386897430,11
1386897430,12
1386897430,12
1386897430,12
1386897430,12
1386897430,12
1386897430,12
1386897430,13
1386897430,13
1386897430,13
1386897430,13
1386897430,13
1386897430,13
1386897430,14
1386897430,14
1386897430,14
1386897430,14
1386897430,14
1386897430,14
1386897430,15
1386897430,15
1386897430,15
1386897430,15
1386897430,15
1386897430,15
1386897430,16
1386897430,16
1386897430,16
1386897430,16
1386897430,16
1386897430,16
1386897430,17
1386897430,17
1386897430,17
1386897430,17
1386897430,17
1386897430,18
1386897430,18
1386897430,18
1386897430,18
1386897430,18
1386897430,19
1386897430,19
1386897430,19
1386897430,19
1386897430,19
1386897430,30
1386897430,30
1386897430,30
1386897430,30
1386897430,30
1386897430,30
1386897430,31
1386897430,31
1386897430,31
1386897430,31
1386897430,31
1386897430,31
1386897430,31
1386897430,11
1386897430,11
1386897430,11
1386897430,11
1386897430,11
1386897430,11
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,6
1386897430,5
1386897430,5
1386897430,5
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,4
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,3
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,2
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,1
1386897430,0
1386897430,0
1386897430,0
1386897430,0
1386897430,0
1386897430,0
1386897430,-1
1386897430,-1
1386897430,-1
1386897430,-1
1386897430,-1
1386897431,-1
1386897431,-2
1386897431,-2
1386897431,-2
1386897431,-2
1386897431,-2
1386897431,-2
1386897431,-3
1386897431,-3
1386897431,-3
1386897431,-3
1386897431,-3
1386897431,-3
1386897431,-4
1386897431,-4
1386897431,-4
1386897431,-4
1386897431,-4
1386897431,-4
1386897431,-5
1386897431,-5
1386897431,-5
1386897431,-5
1386897431,-5
1386897431,-5
1386897431,-6
1386897431,-6
1386897431,-6
1386897431,-6
1386897431,-6
1386897431,-6
1386897431,-6
1386897431,-7
1386897431,-7
1386897431,-7
1386897431,-7
1386897431,-7
1386897431,-7
1386897431,-8
1386897431,-8
1386897431,-8
1386897431,-8
1386897431,-8
1386897431,-8
1386897431,-9
1386897431,-9
1386897431,-9
1386897431,-9
1386897431,-9
1386897431,-9
1386897431,-10
1386897431,-10
1386897431,-10
1386897431,-10
1386897431,-11
1386897431,-11
1386897431,-10
1386897431,-11
1386897431,-11
1386897431,-11
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-13
1386897431,-13
1386897431,-13
1386897431,-13
1386897431,-13
1386897431,-13
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-15
1386897431,-15
1386897431,-15
1386897431,-15
1386897431,-15
1386897431,-15
1386897431,-16
1386897431,-16
1386897431,-16
1386897431,-16
1386897431,-16
1386897431,-16
1386897431,-17
1386897431,-17
1386897431,-17
1386897431,-17
1386897431,-17
1386897431,-17
1386897431,-18
1386897431,-18
1386897431,-18
1386897431,-18
1386897431,-18
1386897431,-18
1386897431,-19
1386897431,-19
1386897431,-19
1386897431,-19
1386897431,-19
1386897431,-19
1386897431,-20
1386897431,-20
1386897431,-20
1386897431,-20
1386897431,-20
1386897431,-20
1386897431,-19
1386897431,-19
1386897431,-19
1386897431,-19
1386897431,-19
1386897431,-19
1386897431,-18
1386897431,-18
1386897431,-18
1386897431,-18
1386897431,-18
1386897431,-18
1386897431,-17
1386897431,-17
1386897431,-17
1386897431,-17
1386897431,-17
1386897431,-17
1386897431,-16
1386897431,-16
1386897431,-16
1386897431,-16
1386897431,-16
1386897431,-16
1386897431,-15
1386897431,-15
1386897431,-15
1386897431,-15
1386897431,-15
1386897431,-15
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-14
1386897431,-13
1386897431,-13
1386897431,-13
1386897431,-13
1386897431,-13
1386897431,-13
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-12
1386897431,-11
1386897431,-11
1386897431,-11
1386897431,-11
1386897431,-11
1386897431,-11
1386897431,-10
1386897431,-10
1386897431,-10
1386897431,-10
1386897431,-10
1386897431,-10
1386897431,-9
1386897431,-9
1386897431,-9
1386897431,-9
1386897431,-9
1386897431,-9
1386897431,-8
1386897431,-8
1386897431,-8
1386897431,-8
1386897431,-8
1386897431,-8
