t,count
1386317863,231
1386317863,232
1386317864,233
1386317864,233
1386317864,234
1386317865,235
1386317865,235
1386317865,236
1386317866,237
1386317866,237
1386317866,238
1386317867,239
1386317867,239
1386317867,240
1386317868,241
1386317868,241
1386317868,242
1386317869,243
1386317869,243
1386317869,244
1386317870,245
1386317870,245
1386317870,246
1386317871,247
1386317871,247
1386317871,248
1386317872,249
1386317872,249
1386317872,250
1386317873,251
1386317873,251
1386317873,252
1386317874,253
1386317874,253
1386317874,254
1386317875,255
1386317875,255
1386317875,256
1386317876,257
1386317876,257
1386317876,258
1386317877,259
1386317877,259
1386317877,260
1386317878,261
1386317878,261
1386317878,262
1386317879,263
1386317879,263
1386317879,264
1386317880,265
1386317880,265
1386317880,266
1386317881,267
1386317881,267
1386317881,268
1386317882,269
1386317882,269
1386317882,270
1386317883,271
1386317883,271
1386317883,272
1386317884,273
1386317884,273
1386317884,274
1386317885,275
1386317885,275
1386317885,276
1386317886,277
1386317886,277
1386317886,278
1386317887,279
1386317887,279
1386317887,280
1386317888,281
1386317888,281
1386317888,282
1386317889,283
1386317889,283
1386317889,284
1386317890,285
1386317890,285
1386317890,286
1386317891,287
1386317891,287
1386317891,288
1386317892,288
1386317892,289
1386317892,290
1386317893,290
1386317893,291
1386317893,292
1386317894,292
1386317894,293
1386317894,294
1386317895,294
1386317895,295
1386317895,296
1386317896,296
1386317896,297
1386317896,298
1386317897,298
1386317897,299
1386317897,300
1386317898,300
1386317898,301
1386317898,302
1386317899,302
1386317899,303
1386317899,304
1386317900,304
1386317900,305
1386317900,306
1386317901,306
1386317901,307
1386317971,1
1386317972,1
1386317972,2
1386317972,3
1386317973,3
1386317973,4
1386317973,5
1386317974,5
1386317974,6
1386318093,1
1386318094,1
1386318094,2
1386318095,3
1386318095,3
1386318095,4
1386318145,1
1386318145,1
1386318145,2
1386318146,3
1386318146,3
1386318146,4
1386318147,5
1386318147,5
1386318147,6
1386318148,7
1386318148,7
1386318148,8
1386318149,9
1386318149,9
1386318149,10
1386318150,11
1386318150,11
1386318150,12
1386318151,13
1386318151,13
1386318151,14
1386318152,15
1386318152,15
1386318153,16
1386318153,17
1386318153,17
1386318154,18
1386318154,19
1386318154,19
1386318155,20
1386318155,21
1386318155,21
1386318156,22
1386318156,23
1386318156,23
1386318157,24
1386318157,25
1386318157,25
1386318158,26
1386318158,27
1386318158,27
1386318159,28
1386318159,29
1386318159,29
1386318160,30
1386318160,31
1386318160,31
1386318161,32
1386318161,33
1386318161,33
1386318162,34
1386318162,35
1386318162,35
1386318163,36
1386318163,37
1386318163,37
1386318164,38
1386318164,39
1386318164,39
1386318165,40
1386318165,41
1386318165,41
1386318166,42
1386318166,43
1386318166,43
1386318167,44
1386318167,45
1386318167,45
1386318168,46
1386318168,47
1386318168,47
1386318169,48
1386318169,49
1386318169,49
1386318170,50
1386318170,51
1386318170,51
1386318171,52
1386318171,53
1386318171,53
1386318172,54
1386318172,55
1386318172,55
1386318173,56
1386318173,57
1386318173,57
1386318174,58
1386318174,59
1386318174,59
1386318175,60
1386318175,61
1386318175,61
1386318176,62
1386318176,62
1386318176,63
1386318177,64
1386318177,64
1386318177,65
1386318178,66
